Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.4215E-06,-0.15582,0.031914,0,0,0,2.1737,0.011588,2.3641E-06,1.148E-07,0.0027668,-0.00036063,0.013909,0,0,0,0,0,0,package://hexapod_34/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hexapod_34/meshes/base_link.STL,,body1-2;box-1,坐标系20,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1_bc,0.0408974677788358,0.000360397905334958,-0.0041053936875537,0,0,0,0.0908665203726945,2.4610333621706E-05,-1.77211021232024E-16,-9.96312062587052E-15,2.19309856894007E-05,-3.04314454051394E-09,1.41574381790733E-05,0,0,0,0,0,0,package://hexapod_34/meshes/l1_bc.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://hexapod_34/meshes/l1_bc.STL,,l1bc-1,坐标系55,基准轴1,l1_bc,revolute,-0.095777,-0.042,0.027,0,0,3.1416,base_link,0,0,-1,4.2,1000,-3.14,3.14,,,,,,,,
l1_cf,0.0321242353170933,0.00527381764243137,-4.71844785465692E-16,0,0,0,0.0174909753555428,9.88505951089856E-07,3.43048343637992E-20,1.97444521112806E-21,9.10606803448504E-06,-1.91471616293548E-21,1.00829133353379E-05,0,0,0,0,0,0,package://hexapod_34/meshes/l1_cf.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hexapod_34/meshes/l1_cf.STL,,l1cf-1,坐标系56,基准轴2,l1_cf,revolute,0.042252,0,-0.016,1.5708,-1.1902,0,l1_bc,0,0,1,0,0,0,0,,,,,,,,
l1_ft,-0.00724778501930912,-0.0399398480675085,-0.000236749715201295,0,0,0,0.124491134285637,3.47414242453732E-05,-3.51504227653568E-06,-1.09625216710603E-14,1.76869601014899E-05,-2.73940141062876E-09,3.27839507695022E-05,0,0,0,0,0,0,package://hexapod_34/meshes/l1_ft.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://hexapod_34/meshes/l1_ft.STL,,l1ft-1,坐标系57,基准轴3,l1_ft,revolute,0.064248,0,0,0,0,-0.87166,l1_cf,0,0,1,0,0,0,0,,,,,,,,
l2_bc,0.0409402984927644,0.000360522488460246,-0.00456980427480258,0,0,0,0.0908665203726841,2.46103336217059E-05,-1.77238968103445E-16,-9.96283953518721E-15,2.19309856894001E-05,-3.04314454054456E-09,1.41574381790729E-05,0,0,0,0,0,0,package://hexapod_34/meshes/l2_bc.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://hexapod_34/meshes/l2_bc.STL,,l2bc-1,坐标系58,基准轴4,l2_bc,revolute,-0.095823,-0.16822,0.027,0,0,-3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
l2_cf,0.0321242353170932,0.00527381764243168,0.000223838235221544,0,0,0,0.0174909753555429,9.88505951089862E-07,3.78253150508249E-20,3.50665522962695E-21,9.10606803448508E-06,-1.17399646383657E-20,1.00829133353379E-05,0,0,0,0,0,0,package://hexapod_34/meshes/l2_cf.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hexapod_34/meshes/l2_cf.STL,,l2cf-1,坐标系59,基准轴5,l2_cf,revolute,0.042295,0,-0.016464,1.5708,-1.1902,0,l2_bc,0,0,1,0,0,0,0,,,,,,,,
l2_ft,-0.00724778522628547,-0.0399398478310155,-1.29112315651013E-05,0,0,0,0.124491131078991,3.47414239542602E-05,-3.51504215689851E-06,-1.30442497131198E-13,1.76869595880212E-05,-2.73928495710912E-09,3.27839507118299E-05,0,0,0,0,0,0,package://hexapod_34/meshes/l2_ft.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://hexapod_34/meshes/l2_ft.STL,,l2ft-4,坐标系60,基准轴6,l2_ft,revolute,0.064248,0,0,0,0,-0.84383,l2_cf,0,0,1,0,0,0,0,,,,,,,,
l3_bc,0.0408974677788349,0.000360397905333543,-0.00414161812576602,0,0,0,0.0908665203726976,2.46103336217061E-05,-1.77291710330313E-16,-9.96269281471182E-15,2.1930985689401E-05,-3.04314454049723E-09,1.41574381790735E-05,0,0,0,0,0,0,package://hexapod_34/meshes/l3_bc.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://hexapod_34/meshes/l3_bc.STL,,l3bc-1,坐标系61,基准轴7,l3_bc,revolute,-0.095735,-0.308,0.027,0,0,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
l3_cf,0.0318543252756973,0.00513094221053728,-9.43689570931383E-16,0,0,0,0.0174909753555429,9.88505951089863E-07,3.94664413861301E-20,2.71022372389802E-21,9.10606803448511E-06,-4.03459367792536E-21,1.00829133353379E-05,0,0,0,0,0,0,package://hexapod_34/meshes/l3_cf.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hexapod_34/meshes/l3_cf.STL,,l3cf-1,坐标系62,基准轴8,l3_cf,revolute,0.042251854327631,0,-0.0160362244382158,1.57079632679489,-1.19023861642098,0,l3_bc,0,0,1,0,0,0,0,,,,,,,,
l3_ft,-0.00724778522461439,-0.0399398478363762,-0.000236749466412611,0,0,0,0.124491131098686,3.4741423952649E-05,-3.51504216505884E-06,-1.30057701040347E-13,1.76869595944738E-05,-2.73928551344034E-09,3.27839507146297E-05,0,0,0,0,0,0,package://hexapod_34/meshes/l3_ft.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://hexapod_34/meshes/l3_ft.STL,,l3ft-1,坐标系63,基准轴9,l3_ft,revolute,0.0639785605927926,-0.000142875431894507,0,0,0,-0.845164022564694,l3_cf,0,0,1,0,0,0,0,,,,,,,,
r1_bc,0.0408937591235741,0.000360397475519678,-0.00328140110988891,0,0,0,0.0908665203726829,2.46103336217058E-05,-1.77180600086808E-16,-9.96331098143311E-15,2.19309856893997E-05,-3.04314454055261E-09,1.41574381790725E-05,0,0,0,0,0,0,package://hexapod_34/meshes/r1_bc.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://hexapod_34/meshes/r1_bc.STL,,r1bc-1,坐标系64,基准轴10,r1_bc,revolute,0.09572,-0.041956,0.025712,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
r1_cf,0.0321242353170948,-0.00527381764243263,-1.52655665885959E-16,0,0,0,0.0174909753555429,9.88505951089863E-07,3.90693946921046E-20,-2.93312418378156E-22,9.10606803448508E-06,-1.59970962450747E-21,1.00829133353379E-05,0,0,0,0,0,0,package://hexapod_34/meshes/r1_cf.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hexapod_34/meshes/r1_cf.STL,,r1cf-1,坐标系47,基准轴11,r1_cf,revolute,0.042248145672369,0,-0.0151760074223378,-1.5707963267949,-1.19023861642097,0,r1_bc,0,0,1,0,0,0,0,,,,,,,,
r1_ft,-0.00724778521943278,0.0399398478531898,0.000236749465249139,0,0,0,0.124491131160062,3.47414239473205E-05,3.5150421903404E-06,1.2887197774374E-13,1.76869596146004E-05,-2.73928723818853E-09,3.27839507230772E-05,0,0,0,0,0,0,package://hexapod_34/meshes/r1_ft.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://hexapod_34/meshes/r1_ft.STL,,r1ft-1,坐标系48,基准轴12,r1_ft,revolute,0.0642484706341888,0,0,0,0,0.849312163009782,r1_cf,0,0,1,0,0,0,0,,,,,,,,
r2_bc,0.040894380830143,0.000353802283617918,-0.00410539368755084,0,0,0,0.0908665203726858,2.46103335520156E-05,-4.32116340430572E-10,-5.00751310363989E-13,2.19309857590904E-05,-3.04314449940453E-09,1.41574381790728E-05,0,0,0,0,0,0,package://hexapod_34/meshes/r2_bc.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://hexapod_34/meshes/r2_bc.STL,,r2bc-1,坐标系49,基准轴13,r2_bc,revolute,0.095741,-0.16796,0.027104,0,0,0.00016128,base_link,0,0,-1,0,0,0,0,,,,,,,,
r2_cf,0.0321242353170947,-0.00527381764243252,-4.06229553788634E-05,0,0,0,0.0174909753555428,9.88505951089861E-07,4.08164001458166E-20,1.65876032058165E-21,9.10606803448506E-06,2.30509529757069E-22,1.00829133353379E-05,0,0,0,0,0,0,package://hexapod_34/meshes/r2_cf.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hexapod_34/meshes/r2_cf.STL,,r2cf-1,坐标系50,基准轴14,r2_cf,revolute,0.042248709237604,0,-0.0159999999999999,-1.57079632679491,-1.19023861642097,-0.000161276617151749,r2_bc,0,0,1,0,0,0,0,,,,,,,,
r2_ft,-0.0072477852114332,0.0399398478988357,0.000236749466170853,0,0,0,0.124491131273361,3.47414239116865E-05,3.5150422362736E-06,1.2522440297715E-13,1.76869596526936E-05,-2.73929064503844E-09,3.27839507159897E-05,0,0,0,0,0,0,package://hexapod_34/meshes/r2_ft.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://hexapod_34/meshes/r2_ft.STL,,r2ft-1,坐标系51,基准轴15,r2_ft,revolute,0.0642484706341889,0,-4.06229553796666E-05,0,0,0.858119138737752,r2_cf,0,0,1,0,0,0,0,,,,,,,,
r3_bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://hexapod_34/meshes/r3_bc.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_34/meshes/r3_bc.STL,,r3bc-1,坐标系52,基准轴16,r3_bc,revolute,0.0957633642839824,-0.307958787052724,0.0271043644611199,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
r3_cf,0.0321242353170945,-0.00527381764243273,1.94289029309402E-16,0,0,0,0.0174909753555428,9.88505951089859E-07,4.35157317397384E-20,1.36837806860005E-21,9.10606803448506E-06,6.68465332519415E-22,1.00829133353379E-05,0,0,0,0,0,0,package://hexapod_34/meshes/r3_cf.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hexapod_34/meshes/r3_cf.STL,,r3cf-1,坐标系53,基准轴17,r3_cf,revolute,0.042214,0,-0.016569,-1.5708,-1.1902,-5.9573E-05,r3_bc,0,0,1,0,0,0,0,,,,,,,,
r3_ft,-0.00724778521592595,0.0399398525297278,0.000235962574715309,0,0,0,0.124491131210926,3.47414239320469E-05,3.51504220991226E-06,-6.91255689010666E-11,1.76869595293637E-05,-2.44184939460932E-09,3.27839508222651E-05,0,0,0,0,0,0,package://hexapod_34/meshes/r3_ft.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://hexapod_34/meshes/r3_ft.STL,,r3ft-4,坐标系54,基准轴18,r3_ft,revolute,0.064248,0,0,1.9702E-05,0,0.85317,r3_cf,0,1.9702E-05,1,0,0,0,0,,,,,,,,
